file,deleted
DOQDOE_extracted.pdb,N
DOQDUK_extracted.pdb,N
DOQFAS_extracted.pdb,N
DOQFEW_extracted.pdb,N
DOQFIA_extracted.pdb,N
DOQFOG_extracted.pdb,N
DOQFUM_extracted.pdb,N
DOQNAA_extracted.pdb,N
DOQNEE_extracted.pdb,N
DOQNIH_extracted.pdb,Y
DOQPEF_extracted.pdb,Y
DOQPIJ_extracted.pdb,Y
DOQZOY_extracted.pdb,Y
DOSDUK_extracted.pdb,Y
DOSMED_extracted.pdb,Y
DOSMIH_extracted.pdb,Y
DOTVOX_extracted.pdb,N
DOVVAL01_extracted.pdb,Y
DOXQAK_extracted.pdb,Y
DOXQEO_extracted.pdb,Y
DOXQUE_extracted.pdb,Y
DOXZUL_extracted.pdb,N
DOYBOI_extracted.pdb,N
DOYROA_extracted.pdb,Y
