CIF,NAperUC
NOMSAK_extracted.cif,1144
NOSTIY_extracted.cif,728
NUHMOU_extracted.cif,3920
NUHMUA_extracted.cif,1992
NUJBEB_extracted.cif,1996
NUJBIF_extracted.cif,642
NUPJAL_extracted.cif,772
NUQQAT_extracted.cif,2586
NUQQEX_extracted.cif,782
OBIQIZ_extracted.cif,128
OBUGEX_extracted.cif,252
OCIKUG_extracted.cif,104
OCUKED01_extracted.cif,1578
OCUKED_extracted.cif,1602
OCUKIH_extracted.cif,1576
ODUKON_extracted.cif,384
ODUMAC_extracted.cif,3196
ODUMEG_extracted.cif,3228
OGUBAU_extracted.cif,344
OGUHOO_extracted.cif,378
OGUHUU_extracted.cif,290
OGUJAC_extracted.cif,290
OJAVUR_extracted.cif,588
OJECAI_extracted.cif,282
OKIGIZ_extracted.cif,974
OKOLEG_extracted.cif,1602
OMADAH_extracted.cif,732
OMEXAG_extracted.cif,128
OQIPOU_extracted.cif,1428
OQOKEM_extracted.cif,1860
OQOKIQ_extracted.cif,2616
OQOKOW_extractedm.cif,2668
OQOKUC_extractedm.cif,2542
OREPEI_extractedm.cif,2822
OREPIM_extracted.cif,656
OSAHAS_extracted.cif,888
OSOFIM_extracted.cif,1290
OSUBAG_extracted.cif,344
OTEBUL_extracted.cif,620
OVARUA_extracted.cif,1868
OVASAH_extracted.cif,458
OVASEL_extracted.cif,1776
OVASOV_extracted.cif,776
OVOJIT_extracted.cif,3152
OXOJUI04_extracted.cif,1436
OXOJUI05_extracted.cif,1020
OXOKET02_extracted.cif,1064
OYEZAU_extracted.cif,978
OYEZEY_extracted.cif,1940
OYIGAF_extracted.cif,1918
OYIGEJ_extracted.cif,1784
PACXAU_extracted.cif,444
PAHVEC_extracted.cif,1780
PALMAR_extracted.cif,1964
PAPHEU_extracted.cif,1412
PAPHIY_extracted.cif,1156
PECQIA_extracted.cif,1404
PEPKEB_extracted.cif,589
PEPKIF_extractedm.cif,8520
PEQMEF_extracted.cif,196
PEQROU_extracted.cif,624
PESNEI_extracted.cif,632
PEWSIV_extracted.cif,1700
PEWSOB_extracted.cif,1918
PIDHUI_extractedm.cif,6520
PIHVUZ_extracted.cif,960
PIJMED_extractedm.cif,1122
PIKDEV_extracted.cif,244
PIKDIZ_extracted.cif,740
PIKDOF_extracted.cif,446
PIWDOQ_extracted.cif,1000
PIWDUW_extracted.cif,526
POSDAE_extracted.cif,398
POSDEI_extracted.cif,2520
POSDIM_extracted.cif,334
POSDOS_extracted.cif,432
POZFUF_extracted.cif,580
POZGAM_extracted.cif,356
POZGEQ_extracted.cif,304
POZJOE_extracted.cif,1596
PUSWIK_extracted.cif,116
PUXHIB_extracted.cif,492
QAGPIA_extracted.cif,1978
QAGPOG_extracted.cif,1300
QAGPUM_extracted.cif,580
QANCEN_extracted.cif,1104
QAVBOF_extracted.cif,1224
QAXWOB_extracted.cif,580
QELWUC_extracted.cif,2072
QELXAJ_extracted.cif,1220
QELXEN_extracted.cif,1086
QELXIR_extracted.cif,1116
QELXOX_extracted.cif,2104
QEMHUL_extracted.cif,457
QEZYOM_extracted.cif,504
QEZYUS_extracted.cif,768
QEZZAZ_extracted.cif,444
QIFHIW_extracted.cif,316
QIRPAI_extracted.cif,430
QIYGUB_extracted.cif,224
